iter	Passed	Remaining
0	2	261
1	5	257
2	7	248
3	9	233
4	12	230
5	14	223
6	16	220
7	19	219
8	21	219
9	24	217
10	26	213
11	28	210
12	31	207
13	33	206
14	36	204
15	38	201
16	40	199
17	43	196
18	45	192
19	47	190
20	50	189
21	52	186
22	55	185
23	57	182
24	59	179
25	63	179
26	66	178
27	69	178
28	72	176
29	74	173
30	76	171
31	79	168
32	82	166
33	84	164
34	87	161
35	89	159
36	91	156
37	94	153
38	96	151
39	99	149
40	101	146
41	102	141
42	104	139
43	107	136
44	109	134
45	112	132
46	115	129
47	117	127
48	119	124
49	121	121
50	124	119
51	127	117
52	129	115
53	132	112
54	133	109
55	136	107
56	138	104
57	141	102
58	143	99
59	146	97
60	148	94
61	150	92
62	153	90
63	155	87
64	158	85
65	160	82
66	162	80
67	164	77
68	167	75
69	169	72
70	171	70
71	174	67
72	176	65
73	179	62
74	181	60
75	183	57
76	185	55
77	188	53
78	191	50
79	193	48
80	195	45
81	197	43
82	200	40
83	202	38
84	204	36
85	207	33
86	209	31
87	211	28
88	214	26
89	216	24
90	219	21
91	221	19
92	223	16
93	224	14
94	226	11
95	229	9
96	230	7
97	232	4
98	235	2
99	236	0
